Durchlauf,Java 8,Java 21
1,295,307
2,272,451
3,238,312
4,250,352
5,259,264
6,264,387
7,281,284
8,263,261
9,287,343
10,283,289
11,254,365
12,244,260
13,250,395
14,249,267
15,249,279
16,245,343
17,247,271
18,249,380
19,243,278
20,269,296
21,239,293
22,252,425
23,241,276
24,251,283
25,244,291
26,247,291
27,245,297
28,275,288
29,279,287
30,252,299
31,242,591
32,256,308
33,244,296
34,245,284
35,255,399
36,251,257
37,258,264
38,274,270
39,281,407
40,275,292
41,277,326
42,252,441
43,265,255
44,265,263
45,236,266
46,254,455
47,268,263
48,232,267
49,240,269
50,266,446
