Durchlauf,Java 8,Java 21
1,3029,4259
2,3153,4250
3,3097,4254
4,2988,4248
5,5072,4184
6,3002,4374
7,3117,4201
8,3059,4182
9,2995,4182
10,2929,4161
11,2931,4309
12,3049,4739
13,2914,4276
14,2941,4351
15,3185,4554
16,2936,4091
17,2896,4326
18,3664,4251
19,2959,4116
20,2900,4185
21,3125,4212
22,2916,4135
23,2953,4449
24,3136,4435
25,2927,4121
26,3179,4346
27,2922,4185
28,4732,4397
29,2970,4228
30,3114,4590
31,3041,3944
32,3112,4293
33,2925,4249
34,3096,4382
35,2951,4168
36,3090,4374
37,2905,4037
38,2956,4455
39,3080,4239
40,2922,4344
41,3061,4515
42,2914,4304
43,3086,4479
44,2893,4814
45,3027,4232
46,2900,4295
47,2976,4238
48,3033,4154
49,3091,4330
50,2960,4260
