Durchlauf,PS Scavenge Collections,PS Scavenge Zeit,PS MarkSweep Collections,PS MarkSweep Zeit,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit,GC_Collections_8,GC_Zeit_8,GC_Collections_21,GC_Zeit_21
1,1,5,0,0,0,0,0,0,0,0,1,5,0,0
2,0,0,0,0,2,135,0,0,0,0,0,0,2,135
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,83,0,0,0,0,0,0,1,83
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,2,123,1,1,0,0,0,0,3,124
7,0,0,0,0,1,33,1,0,0,0,0,0,2,33
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,51,0,0,0,0,0,0,1,51
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,8,0,0,1,96,0,0,0,0,1,8,1,96
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,1,128,0,0,0,0,0,0,1,128
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,1,80,0,0,0,0,0,0,1,80
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,106,0,0,0,0,0,0,1,106
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,22,0,0,0,0,0,0,0,0,1,22,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,145,0,0,0,0,0,0,1,145
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,11,0,0,0,0,0,0,0,0,1,11,0,0
31,0,0,0,0,2,320,0,0,0,0,0,0,2,320
32,0,0,0,0,0,0,2,2,0,0,0,0,2,2
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,1,142,0,0,0,0,0,0,1,142
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,9,0,0,1,131,0,0,0,0,1,9,1,131
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,1,163,0,0,0,0,0,0,1,163
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,1,178,0,0,0,0,0,0,1,178
47,1,30,0,0,0,0,0,0,0,0,1,30,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,1,183,0,0,0,0,0,0,1,183
