Durchlauf,PS Scavenge Collections,PS Scavenge Zeit,PS MarkSweep Collections,PS MarkSweep Zeit,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit,GC_Collections_8,GC_Zeit_8,GC_Collections_21,GC_Zeit_21
1,1,95,0,0,1,147,0,0,0,0,1,95,1,147
2,0,0,0,0,1,105,2,2,0,0,0,0,3,107
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,141,0,0,0,0,0,0,1,141
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,88,0,0,2,162,2,1,0,0,1,88,4,163
7,0,0,0,0,1,110,0,0,0,0,0,0,1,110
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,152,0,0,0,0,0,0,1,152
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,15,0,0,0,0,0,0,0,0,1,15,0,0
12,0,0,0,0,1,165,0,0,0,0,0,0,1,165
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,200,0,0,0,0,0,0,1,200
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,1,172,0,0,0,0,0,0,1,172
18,1,71,0,0,0,0,0,0,0,0,1,71,0,0
19,0,0,0,0,1,179,0,0,0,0,0,0,1,179
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,1,183,0,0,0,0,0,0,1,183
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,1,161,0,0,0,0,0,0,1,161
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,91,1,134,2,202,0,0,0,0,2,225,2,202
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,2,151,2,2,0,0,0,0,4,153
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,1,82,0,0,0,0,0,0,1,82
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,2,205,0,0,0,0,0,0,2,205
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,1,219,0,0,0,0,0,0,1,219
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,1,165,0,0,0,0,0,0,1,165
38,1,57,0,0,0,0,2,1,0,0,1,57,2,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,1,138,0,0,0,0,0,0,1,138
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,1,169,0,0,0,0,0,0,1,169
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,1,215,0,0,0,0,0,0,1,215
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,2,179,2,2,0,0,0,0,4,181
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,64,0,0,0,0,0,0,0,0,1,64,0,0
