Durchlauf,Dauer in ms,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit
1,12,0,0,0,0,0,0
2,11,0,0,0,0,0,0
3,11,0,0,0,0,0,0
4,10,0,0,0,0,0,0
5,10,0,0,0,0,0,0
6,10,0,0,0,0,0,0
7,9,0,0,0,0,0,0
8,11,0,0,0,0,0,0
9,7,0,0,0,0,0,0
10,8,0,0,0,0,0,0
11,8,0,0,0,0,0,0
12,8,0,0,0,0,0,0
13,8,0,0,0,0,0,0
14,7,0,0,0,0,0,0
15,5,0,0,0,0,0,0
16,5,0,0,0,0,0,0
17,10,1,4,0,0,0,0
18,6,0,0,0,0,0,0
19,6,0,0,0,0,0,0
20,6,0,0,0,0,0,0
21,5,0,0,0,0,0,0
22,5,0,0,0,0,0,0
23,4,0,0,0,0,0,0
24,4,0,0,0,0,0,0
25,5,0,0,0,0,0,0
26,4,0,0,0,0,0,0
27,4,0,0,0,0,0,0
28,5,0,0,0,0,0,0
29,5,0,0,0,0,0,0
30,5,0,0,0,0,0,0
31,4,0,0,0,0,0,0
32,4,0,0,0,0,0,0
33,4,0,0,0,0,0,0
34,3,0,0,0,0,0,0
35,4,0,0,0,0,0,0
36,3,0,0,0,0,0,0
37,5,0,0,0,0,0,0
38,5,0,0,0,0,0,0
39,4,0,0,0,0,0,0
40,4,0,0,0,0,0,0
41,4,0,0,0,0,0,0
42,4,0,0,0,0,0,0
43,4,0,0,0,0,0,0
44,4,0,0,0,0,0,0
45,4,0,0,0,0,0,0
46,4,0,0,0,0,0,0
47,5,0,0,0,0,0,0
48,5,0,0,0,0,0,0
49,5,0,0,0,0,0,0
50,6,0,0,0,0,0,0
