Durchlauf,Dauer in ms,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit
1,4259,4,328,2,1,0,0
2,4250,2,198,2,2,0,0
3,4254,3,455,2,1,0,0
4,4248,4,518,2,1,0,0
5,4184,3,426,0,0,0,0
6,4374,2,450,2,2,0,0
7,4201,2,291,2,2,0,0
8,4182,3,379,2,1,0,0
9,4182,3,387,2,2,0,0
10,4161,4,451,2,1,0,0
11,4309,2,234,2,2,0,0
12,4739,4,618,2,1,0,0
13,4276,2,136,2,2,0,0
14,4351,4,552,2,1,0,0
15,4554,3,461,2,1,0,0
16,4091,3,384,2,2,0,0
17,4326,2,212,2,1,0,0
18,4251,3,485,2,2,0,0
19,4116,3,354,2,3,0,0
20,4185,2,422,0,0,0,0
21,4212,3,321,2,2,0,0
22,4135,2,182,2,1,0,0
23,4449,4,573,2,1,0,0
24,4435,3,431,2,2,0,0
25,4121,4,315,2,1,0,0
26,4346,3,360,2,2,0,0
27,4185,3,326,2,1,0,0
28,4397,3,463,2,2,0,0
29,4228,3,322,2,1,0,0
30,4590,4,543,2,2,0,0
31,3944,2,136,2,1,0,0
32,4293,4,606,2,2,0,0
33,4249,2,202,2,1,0,0
34,4382,4,613,2,1,0,0
35,4168,2,181,2,2,0,0
36,4374,4,608,2,2,0,0
37,4037,2,134,2,1,0,0
38,4455,4,672,2,2,0,0
39,4239,2,193,2,1,0,0
40,4344,4,590,2,1,0,0
41,4515,3,445,2,2,0,0
42,4304,3,336,2,1,0,0
43,4479,2,153,2,2,0,0
44,4814,5,716,2,1,0,0
45,4232,2,272,2,1,0,0
46,4295,3,424,2,2,0,0
47,4238,3,458,2,1,0,0
48,4154,3,424,0,0,0,0
49,4330,2,235,2,2,0,0
50,4260,2,419,0,0,0,0
