Durchlauf,Dauer in ms,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit
1,307,0,0,0,0,0,0
2,451,2,135,0,0,0,0
3,312,0,0,0,0,0,0
4,352,1,83,0,0,0,0
5,264,0,0,0,0,0,0
6,387,2,123,1,1,0,0
7,284,1,33,1,0,0,0
8,261,0,0,0,0,0,0
9,343,1,51,0,0,0,0
10,289,0,0,0,0,0,0
11,365,1,96,0,0,0,0
12,260,0,0,0,0,0,0
13,395,1,128,0,0,0,0
14,267,0,0,0,0,0,0
15,279,0,0,0,0,0,0
16,343,1,80,0,0,0,0
17,271,0,0,0,0,0,0
18,380,1,106,0,0,0,0
19,278,0,0,0,0,0,0
20,296,0,0,0,0,0,0
21,293,0,0,0,0,0,0
22,425,1,145,0,0,0,0
23,276,0,0,0,0,0,0
24,283,0,0,0,0,0,0
25,291,0,0,0,0,0,0
26,291,0,0,0,0,0,0
27,297,0,0,0,0,0,0
28,288,0,0,0,0,0,0
29,287,0,0,0,0,0,0
30,299,0,0,0,0,0,0
31,591,2,320,0,0,0,0
32,308,0,0,2,2,0,0
33,296,0,0,0,0,0,0
34,284,0,0,0,0,0,0
35,399,1,142,0,0,0,0
36,257,0,0,0,0,0,0
37,264,0,0,0,0,0,0
38,270,0,0,0,0,0,0
39,407,1,131,0,0,0,0
40,292,0,0,0,0,0,0
41,326,0,0,0,0,0,0
42,441,1,163,0,0,0,0
43,255,0,0,0,0,0,0
44,263,0,0,0,0,0,0
45,266,0,0,0,0,0,0
46,455,1,178,0,0,0,0
47,263,0,0,0,0,0,0
48,267,0,0,0,0,0,0
49,269,0,0,0,0,0,0
50,446,1,183,0,0,0,0
