Durchlauf,Dauer in ms,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit
1,138,0,0,0,0,0,0
2,81,0,0,0,0,0,0
3,103,0,0,0,0,0,0
4,110,0,0,0,0,0,0
5,105,0,0,0,0,0,0
6,98,0,0,0,0,0,0
7,94,0,0,0,0,0,0
8,82,0,0,0,0,0,0
9,76,0,0,0,0,0,0
10,92,1,14,0,0,0,0
11,73,0,0,0,0,0,0
12,82,0,0,0,0,0,0
13,89,0,0,0,0,0,0
14,72,0,0,0,0,0,0
15,76,0,0,0,0,0,0
16,70,0,0,0,0,0,0
17,76,0,0,0,0,0,0
18,72,0,0,0,0,0,0
19,82,0,0,0,0,0,0
20,99,1,12,0,0,0,0
21,70,0,0,0,0,0,0
22,69,0,0,0,0,0,0
23,71,0,0,0,0,0,0
24,76,0,0,0,0,0,0
25,77,0,0,0,0,0,0
26,71,0,0,0,0,0,0
27,66,0,0,0,0,0,0
28,70,0,0,0,0,0,0
29,69,0,0,0,0,0,0
30,72,0,0,0,0,0,0
31,75,1,4,0,0,0,0
32,70,0,0,0,0,0,0
33,64,0,0,0,0,0,0
34,75,0,0,0,0,0,0
35,76,0,0,0,0,0,0
36,65,0,0,0,0,0,0
37,63,0,0,0,0,0,0
38,76,0,0,0,0,0,0
39,71,0,0,0,0,0,0
40,63,0,0,0,0,0,0
41,75,1,12,0,0,0,0
42,74,0,0,0,0,0,0
43,83,0,0,0,0,0,0
44,75,0,0,0,0,0,0
45,70,0,0,0,0,0,0
46,69,0,0,0,0,0,0
47,63,0,0,0,0,0,0
48,71,0,0,0,0,0,0
49,78,0,0,0,0,0,0
50,65,0,0,0,0,0,0
