Durchlauf,Dauer in ms,G1 Young Generation Collections,G1 Young Generation Zeit,G1 Concurrent GC Collections,G1 Concurrent GC Zeit,G1 Old Generation Collections,G1 Old Generation Zeit
1,847,1,147,0,0,0,0
2,862,1,105,2,2,0,0
3,735,0,0,0,0,0,0
4,906,1,141,0,0,0,0
5,684,0,0,0,0,0,0
6,855,2,162,2,1,0,0
7,808,1,110,0,0,0,0
8,676,0,0,0,0,0,0
9,840,1,152,0,0,0,0
10,723,0,0,0,0,0,0
11,731,0,0,0,0,0,0
12,867,1,165,0,0,0,0
13,723,0,0,0,0,0,0
14,882,1,200,0,0,0,0
15,692,0,0,0,0,0,0
16,684,0,0,0,0,0,0
17,944,1,172,0,0,0,0
18,778,0,0,0,0,0,0
19,872,1,179,0,0,0,0
20,723,0,0,0,0,0,0
21,912,1,183,0,0,0,0
22,691,0,0,0,0,0,0
23,706,0,0,0,0,0,0
24,871,1,161,0,0,0,0
25,779,0,0,0,0,0,0
26,890,2,202,0,0,0,0
27,752,0,0,0,0,0,0
28,903,2,151,2,2,0,0
29,836,0,0,0,0,0,0
30,763,1,82,0,0,0,0
31,835,0,0,0,0,0,0
32,876,2,205,0,0,0,0
33,727,0,0,0,0,0,0
34,734,0,0,0,0,0,0
35,920,1,219,0,0,0,0
36,689,0,0,0,0,0,0
37,846,1,165,0,0,0,0
38,798,0,0,2,1,0,0
39,698,0,0,0,0,0,0
40,826,1,138,0,0,0,0
41,691,0,0,0,0,0,0
42,691,0,0,0,0,0,0
43,849,1,169,0,0,0,0
44,690,0,0,0,0,0,0
45,987,1,215,0,0,0,0
46,715,0,0,0,0,0,0
47,736,0,0,0,0,0,0
48,902,2,179,2,2,0,0
49,802,0,0,0,0,0,0
50,695,0,0,0,0,0,0
