Durchlauf,Dauer in ms,PS Scavenge Collections,PS Scavenge Zeit,PS MarkSweep Collections,PS MarkSweep Zeit
1,295,1,5,0,0
2,272,0,0,0,0
3,238,0,0,0,0
4,250,0,0,0,0
5,259,0,0,0,0
6,264,0,0,0,0
7,281,0,0,0,0
8,263,0,0,0,0
9,287,0,0,0,0
10,283,0,0,0,0
11,254,1,8,0,0
12,244,0,0,0,0
13,250,0,0,0,0
14,249,0,0,0,0
15,249,0,0,0,0
16,245,0,0,0,0
17,247,0,0,0,0
18,249,0,0,0,0
19,243,0,0,0,0
20,269,1,22,0,0
21,239,0,0,0,0
22,252,0,0,0,0
23,241,0,0,0,0
24,251,0,0,0,0
25,244,0,0,0,0
26,247,0,0,0,0
27,245,0,0,0,0
28,275,0,0,0,0
29,279,0,0,0,0
30,252,1,11,0,0
31,242,0,0,0,0
32,256,0,0,0,0
33,244,0,0,0,0
34,245,0,0,0,0
35,255,0,0,0,0
36,251,0,0,0,0
37,258,0,0,0,0
38,274,0,0,0,0
39,281,1,9,0,0
40,275,0,0,0,0
41,277,0,0,0,0
42,252,0,0,0,0
43,265,0,0,0,0
44,265,0,0,0,0
45,236,0,0,0,0
46,254,0,0,0,0
47,268,1,30,0,0
48,232,0,0,0,0
49,240,0,0,0,0
50,266,0,0,0,0
