Durchlauf,Dauer in ms,PS Scavenge Collections,PS Scavenge Zeit,PS MarkSweep Collections,PS MarkSweep Zeit
1,87,0,0,0,0
2,77,0,0,0,0
3,112,1,10,0,0
4,86,0,0,0,0
5,74,0,0,0,0
6,66,0,0,0,0
7,61,0,0,0,0
8,70,0,0,0,0
9,77,0,0,0,0
10,70,0,0,0,0
11,65,0,0,0,0
12,83,1,9,0,0
13,54,0,0,0,0
14,56,0,0,0,0
15,51,0,0,0,0
16,49,0,0,0,0
17,53,0,0,0,0
18,68,0,0,0,0
19,55,0,0,0,0
20,54,0,0,0,0
21,59,0,0,0,0
22,68,1,6,0,0
23,55,0,0,0,0
24,67,0,0,0,0
25,59,0,0,0,0
26,51,0,0,0,0
27,48,0,0,0,0
28,47,0,0,0,0
29,55,0,0,0,0
30,71,0,0,0,0
31,52,0,0,0,0
32,48,0,0,0,0
33,56,0,0,0,0
34,59,0,0,0,0
35,54,0,0,0,0
36,53,0,0,0,0
37,59,0,0,0,0
38,66,0,0,0,0
39,57,0,0,0,0
40,53,0,0,0,0
41,60,1,6,0,0
42,66,0,0,0,0
43,61,0,0,0,0
44,57,0,0,0,0
45,61,0,0,0,0
46,58,0,0,0,0
47,49,0,0,0,0
48,49,0,0,0,0
49,50,0,0,0,0
50,63,0,0,0,0
