Durchlauf,Dauer in ms,PS Scavenge Collections,PS Scavenge Zeit,PS MarkSweep Collections,PS MarkSweep Zeit
1,3029,0,0,0,0
2,3153,1,143,0,0
3,3097,0,0,0,0
4,2988,0,0,0,0
5,5072,1,684,1,1470
6,3002,0,0,0,0
7,3117,0,0,0,0
8,3059,0,0,0,0
9,2995,1,70,0,0
10,2929,0,0,0,0
11,2931,0,0,0,0
12,3049,1,96,0,0
13,2914,0,0,0,0
14,2941,0,0,0,0
15,3185,1,138,0,0
16,2936,0,0,0,0
17,2896,0,0,0,0
18,3664,1,205,1,562
19,2959,0,0,0,0
20,2900,0,0,0,0
21,3125,1,221,0,0
22,2916,0,0,0,0
23,2953,0,0,0,0
24,3136,1,136,1,107
25,2927,0,0,0,0
26,3179,1,294,0,0
27,2922,0,0,0,0
28,4732,1,369,1,1491
29,2970,0,0,0,0
30,3114,1,202,0,0
31,3041,0,0,0,0
32,3112,1,245,0,0
33,2925,0,0,0,0
34,3096,1,209,0,0
35,2951,0,0,0,0
36,3090,1,99,0,0
37,2905,0,0,0,0
38,2956,1,32,0,0
39,3080,1,180,0,0
40,2922,0,0,0,0
41,3061,1,175,0,0
42,2914,0,0,0,0
43,3086,1,159,0,0
44,2893,0,0,0,0
45,3027,1,106,0,0
46,2900,0,0,0,0
47,2976,1,58,0,0
48,3033,0,0,0,0
49,3091,1,18,0,0
50,2960,0,0,0,0
